,index,Text,id,model,gltr_0,gltr_1,gltr_2,gltr_3,gltr_Label,gpt_zero_Burtiness,gpt_zero_Label,gpt_zero_Perplexity,roberta_Label,roberta_large_Label,roberta_large_score_0,roberta_large_score_1,roberta_score_Fake,roberta_score_Real
0,count,0.0,0,0,,,,,,,,,,,,,,
1,mean,,0,0,,,,,,,,,,,,,,
2,std,,0,0,,,,,,,,,,,,,,
3,min,,0,0,,,,,,,,,,,,,,
4,25%,,0,0,,,,,,,,,,,,,,
5,50%,,0,0,,,,,,,,,,,,,,
6,75%,,0,0,,,,,,,,,,,,,,
7,max,,0,0,,,,,,,,,,,,,,
0,count,0.0,1,1,,,,,,,,,,,,,,
1,mean,,1,1,,,,,,,,,,,,,,
2,std,,1,1,,,,,,,,,,,,,,
3,min,,1,1,,,,,,,,,,,,,,
4,25%,,1,1,,,,,,,,,,,,,,
5,50%,,1,1,,,,,,,,,,,,,,
6,75%,,1,1,,,,,,,,,,,,,,
7,max,,1,1,,,,,,,,,,,,,,
0,count,0.0,2,2,,,,,,,,,,,,,,
1,mean,,2,2,,,,,,,,,,,,,,
2,std,,2,2,,,,,,,,,,,,,,
3,min,,2,2,,,,,,,,,,,,,,
4,25%,,2,2,,,,,,,,,,,,,,
5,50%,,2,2,,,,,,,,,,,,,,
6,75%,,2,2,,,,,,,,,,,,,,
7,max,,2,2,,,,,,,,,,,,,,
0,count,0.0,3,3,,,,,,,,,,,,,,
1,mean,,3,3,,,,,,,,,,,,,,
2,std,,3,3,,,,,,,,,,,,,,
3,min,,3,3,,,,,,,,,,,,,,
4,25%,,3,3,,,,,,,,,,,,,,
5,50%,,3,3,,,,,,,,,,,,,,
6,75%,,3,3,,,,,,,,,,,,,,
7,max,,3,3,,,,,,,,,,,,,,
0,count,0.0,4,4,,,,,,,,,,,,,,
1,mean,,4,4,,,,,,,,,,,,,,
2,std,,4,4,,,,,,,,,,,,,,
3,min,,4,4,,,,,,,,,,,,,,
4,25%,,4,4,,,,,,,,,,,,,,
5,50%,,4,4,,,,,,,,,,,,,,
6,75%,,4,4,,,,,,,,,,,,,,
7,max,,4,4,,,,,,,,,,,,,,
0,count,0.0,5,5,,,,,,,,,,,,,,
1,mean,,5,5,,,,,,,,,,,,,,
2,std,,5,5,,,,,,,,,,,,,,
3,min,,5,5,,,,,,,,,,,,,,
4,25%,,5,5,,,,,,,,,,,,,,
5,50%,,5,5,,,,,,,,,,,,,,
6,75%,,5,5,,,,,,,,,,,,,,
7,max,,5,5,,,,,,,,,,,,,,
0,count,0.0,6,6,,,,,,,,,,,,,,
1,mean,,6,6,,,,,,,,,,,,,,
2,std,,6,6,,,,,,,,,,,,,,
3,min,,6,6,,,,,,,,,,,,,,
4,25%,,6,6,,,,,,,,,,,,,,
5,50%,,6,6,,,,,,,,,,,,,,
6,75%,,6,6,,,,,,,,,,,,,,
7,max,,6,6,,,,,,,,,,,,,,
0,count,0.0,7,7,,,,,,,,,,,,,,
1,mean,,7,7,,,,,,,,,,,,,,
2,std,,7,7,,,,,,,,,,,,,,
3,min,,7,7,,,,,,,,,,,,,,
4,25%,,7,7,,,,,,,,,,,,,,
5,50%,,7,7,,,,,,,,,,,,,,
6,75%,,7,7,,,,,,,,,,,,,,
7,max,,7,7,,,,,,,,,,,,,,
0,count,0.0,8,8,,,,,,,,,,,,,,
1,mean,,8,8,,,,,,,,,,,,,,
2,std,,8,8,,,,,,,,,,,,,,
3,min,,8,8,,,,,,,,,,,,,,
4,25%,,8,8,,,,,,,,,,,,,,
5,50%,,8,8,,,,,,,,,,,,,,
6,75%,,8,8,,,,,,,,,,,,,,
7,max,,8,8,,,,,,,,,,,,,,
0,count,0.0,9,9,,,,,,,,,,,,,,
1,mean,,9,9,,,,,,,,,,,,,,
2,std,,9,9,,,,,,,,,,,,,,
3,min,,9,9,,,,,,,,,,,,,,
4,25%,,9,9,,,,,,,,,,,,,,
5,50%,,9,9,,,,,,,,,,,,,,
6,75%,,9,9,,,,,,,,,,,,,,
7,max,,9,9,,,,,,,,,,,,,,
0,count,0.0,10,10,,,,,,,,,,,,,,
1,mean,,10,10,,,,,,,,,,,,,,
2,std,,10,10,,,,,,,,,,,,,,
3,min,,10,10,,,,,,,,,,,,,,
4,25%,,10,10,,,,,,,,,,,,,,
5,50%,,10,10,,,,,,,,,,,,,,
6,75%,,10,10,,,,,,,,,,,,,,
7,max,,10,10,,,,,,,,,,,,,,
0,count,0.0,11,11,,,,,,,,,,,,,,
1,mean,,11,11,,,,,,,,,,,,,,
2,std,,11,11,,,,,,,,,,,,,,
3,min,,11,11,,,,,,,,,,,,,,
4,25%,,11,11,,,,,,,,,,,,,,
5,50%,,11,11,,,,,,,,,,,,,,
6,75%,,11,11,,,,,,,,,,,,,,
7,max,,11,11,,,,,,,,,,,,,,
0,count,0.0,12,12,,,,,,,,,,,,,,
1,mean,,12,12,,,,,,,,,,,,,,
2,std,,12,12,,,,,,,,,,,,,,
3,min,,12,12,,,,,,,,,,,,,,
4,25%,,12,12,,,,,,,,,,,,,,
5,50%,,12,12,,,,,,,,,,,,,,
6,75%,,12,12,,,,,,,,,,,,,,
7,max,,12,12,,,,,,,,,,,,,,
0,count,0.0,13,13,,,,,,,,,,,,,,
1,mean,,13,13,,,,,,,,,,,,,,
2,std,,13,13,,,,,,,,,,,,,,
3,min,,13,13,,,,,,,,,,,,,,
4,25%,,13,13,,,,,,,,,,,,,,
5,50%,,13,13,,,,,,,,,,,,,,
6,75%,,13,13,,,,,,,,,,,,,,
7,max,,13,13,,,,,,,,,,,,,,
0,count,0.0,14,14,,,,,,,,,,,,,,
1,mean,,14,14,,,,,,,,,,,,,,
2,std,,14,14,,,,,,,,,,,,,,
3,min,,14,14,,,,,,,,,,,,,,
4,25%,,14,14,,,,,,,,,,,,,,
5,50%,,14,14,,,,,,,,,,,,,,
6,75%,,14,14,,,,,,,,,,,,,,
7,max,,14,14,,,,,,,,,,,,,,
0,count,0.0,15,15,,,,,,,,,,,,,,
1,mean,,15,15,,,,,,,,,,,,,,
2,std,,15,15,,,,,,,,,,,,,,
3,min,,15,15,,,,,,,,,,,,,,
4,25%,,15,15,,,,,,,,,,,,,,
5,50%,,15,15,,,,,,,,,,,,,,
6,75%,,15,15,,,,,,,,,,,,,,
7,max,,15,15,,,,,,,,,,,,,,
0,count,0.0,16,16,,,,,,,,,,,,,,
1,mean,,16,16,,,,,,,,,,,,,,
2,std,,16,16,,,,,,,,,,,,,,
3,min,,16,16,,,,,,,,,,,,,,
4,25%,,16,16,,,,,,,,,,,,,,
5,50%,,16,16,,,,,,,,,,,,,,
6,75%,,16,16,,,,,,,,,,,,,,
7,max,,16,16,,,,,,,,,,,,,,
0,count,0.0,17,17,,,,,,,,,,,,,,
1,mean,,17,17,,,,,,,,,,,,,,
2,std,,17,17,,,,,,,,,,,,,,
3,min,,17,17,,,,,,,,,,,,,,
4,25%,,17,17,,,,,,,,,,,,,,
5,50%,,17,17,,,,,,,,,,,,,,
6,75%,,17,17,,,,,,,,,,,,,,
7,max,,17,17,,,,,,,,,,,,,,
0,count,0.0,18,18,,,,,,,,,,,,,,
1,mean,,18,18,,,,,,,,,,,,,,
2,std,,18,18,,,,,,,,,,,,,,
3,min,,18,18,,,,,,,,,,,,,,
4,25%,,18,18,,,,,,,,,,,,,,
5,50%,,18,18,,,,,,,,,,,,,,
6,75%,,18,18,,,,,,,,,,,,,,
7,max,,18,18,,,,,,,,,,,,,,
0,count,0.0,19,19,,,,,,,,,,,,,,
1,mean,,19,19,,,,,,,,,,,,,,
2,std,,19,19,,,,,,,,,,,,,,
3,min,,19,19,,,,,,,,,,,,,,
4,25%,,19,19,,,,,,,,,,,,,,
5,50%,,19,19,,,,,,,,,,,,,,
6,75%,,19,19,,,,,,,,,,,,,,
7,max,,19,19,,,,,,,,,,,,,,
0,count,0.0,20,20,,,,,,,,,,,,,,
1,mean,,20,20,,,,,,,,,,,,,,
2,std,,20,20,,,,,,,,,,,,,,
3,min,,20,20,,,,,,,,,,,,,,
4,25%,,20,20,,,,,,,,,,,,,,
5,50%,,20,20,,,,,,,,,,,,,,
6,75%,,20,20,,,,,,,,,,,,,,
7,max,,20,20,,,,,,,,,,,,,,
0,count,0.0,21,21,,,,,,,,,,,,,,
1,mean,,21,21,,,,,,,,,,,,,,
2,std,,21,21,,,,,,,,,,,,,,
3,min,,21,21,,,,,,,,,,,,,,
4,25%,,21,21,,,,,,,,,,,,,,
5,50%,,21,21,,,,,,,,,,,,,,
6,75%,,21,21,,,,,,,,,,,,,,
7,max,,21,21,,,,,,,,,,,,,,
0,count,0.0,22,22,,,,,,,,,,,,,,
1,mean,,22,22,,,,,,,,,,,,,,
2,std,,22,22,,,,,,,,,,,,,,
3,min,,22,22,,,,,,,,,,,,,,
4,25%,,22,22,,,,,,,,,,,,,,
5,50%,,22,22,,,,,,,,,,,,,,
6,75%,,22,22,,,,,,,,,,,,,,
7,max,,22,22,,,,,,,,,,,,,,
0,count,0.0,23,23,,,,,,,,,,,,,,
1,mean,,23,23,,,,,,,,,,,,,,
2,std,,23,23,,,,,,,,,,,,,,
3,min,,23,23,,,,,,,,,,,,,,
4,25%,,23,23,,,,,,,,,,,,,,
5,50%,,23,23,,,,,,,,,,,,,,
6,75%,,23,23,,,,,,,,,,,,,,
7,max,,23,23,,,,,,,,,,,,,,
0,count,0.0,24,24,,,,,,,,,,,,,,
1,mean,,24,24,,,,,,,,,,,,,,
2,std,,24,24,,,,,,,,,,,,,,
3,min,,24,24,,,,,,,,,,,,,,
4,25%,,24,24,,,,,,,,,,,,,,
5,50%,,24,24,,,,,,,,,,,,,,
6,75%,,24,24,,,,,,,,,,,,,,
7,max,,24,24,,,,,,,,,,,,,,
0,count,0.0,25,25,,,,,,,,,,,,,,
1,mean,,25,25,,,,,,,,,,,,,,
2,std,,25,25,,,,,,,,,,,,,,
3,min,,25,25,,,,,,,,,,,,,,
4,25%,,25,25,,,,,,,,,,,,,,
5,50%,,25,25,,,,,,,,,,,,,,
6,75%,,25,25,,,,,,,,,,,,,,
7,max,,25,25,,,,,,,,,,,,,,
0,count,0.0,26,26,,,,,,,,,,,,,,
1,mean,,26,26,,,,,,,,,,,,,,
2,std,,26,26,,,,,,,,,,,,,,
3,min,,26,26,,,,,,,,,,,,,,
4,25%,,26,26,,,,,,,,,,,,,,
5,50%,,26,26,,,,,,,,,,,,,,
6,75%,,26,26,,,,,,,,,,,,,,
7,max,,26,26,,,,,,,,,,,,,,
0,count,0.0,27,27,,,,,,,,,,,,,,
1,mean,,27,27,,,,,,,,,,,,,,
2,std,,27,27,,,,,,,,,,,,,,
3,min,,27,27,,,,,,,,,,,,,,
4,25%,,27,27,,,,,,,,,,,,,,
5,50%,,27,27,,,,,,,,,,,,,,
6,75%,,27,27,,,,,,,,,,,,,,
7,max,,27,27,,,,,,,,,,,,,,
0,count,0.0,28,28,,,,,,,,,,,,,,
1,mean,,28,28,,,,,,,,,,,,,,
2,std,,28,28,,,,,,,,,,,,,,
3,min,,28,28,,,,,,,,,,,,,,
4,25%,,28,28,,,,,,,,,,,,,,
5,50%,,28,28,,,,,,,,,,,,,,
6,75%,,28,28,,,,,,,,,,,,,,
7,max,,28,28,,,,,,,,,,,,,,
0,count,0.0,29,29,,,,,,,,,,,,,,
1,mean,,29,29,,,,,,,,,,,,,,
2,std,,29,29,,,,,,,,,,,,,,
3,min,,29,29,,,,,,,,,,,,,,
4,25%,,29,29,,,,,,,,,,,,,,
5,50%,,29,29,,,,,,,,,,,,,,
6,75%,,29,29,,,,,,,,,,,,,,
7,max,,29,29,,,,,,,,,,,,,,
0,count,0.0,30,30,,,,,,,,,,,,,,
1,mean,,30,30,,,,,,,,,,,,,,
2,std,,30,30,,,,,,,,,,,,,,
3,min,,30,30,,,,,,,,,,,,,,
4,25%,,30,30,,,,,,,,,,,,,,
5,50%,,30,30,,,,,,,,,,,,,,
6,75%,,30,30,,,,,,,,,,,,,,
7,max,,30,30,,,,,,,,,,,,,,
0,count,0.0,31,31,,,,,,,,,,,,,,
1,mean,,31,31,,,,,,,,,,,,,,
2,std,,31,31,,,,,,,,,,,,,,
3,min,,31,31,,,,,,,,,,,,,,
4,25%,,31,31,,,,,,,,,,,,,,
5,50%,,31,31,,,,,,,,,,,,,,
6,75%,,31,31,,,,,,,,,,,,,,
7,max,,31,31,,,,,,,,,,,,,,
0,count,0.0,32,32,,,,,,,,,,,,,,
1,mean,,32,32,,,,,,,,,,,,,,
2,std,,32,32,,,,,,,,,,,,,,
3,min,,32,32,,,,,,,,,,,,,,
4,25%,,32,32,,,,,,,,,,,,,,
5,50%,,32,32,,,,,,,,,,,,,,
6,75%,,32,32,,,,,,,,,,,,,,
7,max,,32,32,,,,,,,,,,,,,,
0,count,0.0,33,33,,,,,,,,,,,,,,
1,mean,,33,33,,,,,,,,,,,,,,
2,std,,33,33,,,,,,,,,,,,,,
3,min,,33,33,,,,,,,,,,,,,,
4,25%,,33,33,,,,,,,,,,,,,,
5,50%,,33,33,,,,,,,,,,,,,,
6,75%,,33,33,,,,,,,,,,,,,,
7,max,,33,33,,,,,,,,,,,,,,
0,count,0.0,34,34,,,,,,,,,,,,,,
1,mean,,34,34,,,,,,,,,,,,,,
2,std,,34,34,,,,,,,,,,,,,,
3,min,,34,34,,,,,,,,,,,,,,
4,25%,,34,34,,,,,,,,,,,,,,
5,50%,,34,34,,,,,,,,,,,,,,
6,75%,,34,34,,,,,,,,,,,,,,
7,max,,34,34,,,,,,,,,,,,,,
0,count,0.0,35,35,,,,,,,,,,,,,,
1,mean,,35,35,,,,,,,,,,,,,,
2,std,,35,35,,,,,,,,,,,,,,
3,min,,35,35,,,,,,,,,,,,,,
4,25%,,35,35,,,,,,,,,,,,,,
5,50%,,35,35,,,,,,,,,,,,,,
6,75%,,35,35,,,,,,,,,,,,,,
7,max,,35,35,,,,,,,,,,,,,,
0,count,0.0,36,36,,,,,,,,,,,,,,
1,mean,,36,36,,,,,,,,,,,,,,
2,std,,36,36,,,,,,,,,,,,,,
3,min,,36,36,,,,,,,,,,,,,,
4,25%,,36,36,,,,,,,,,,,,,,
5,50%,,36,36,,,,,,,,,,,,,,
6,75%,,36,36,,,,,,,,,,,,,,
7,max,,36,36,,,,,,,,,,,,,,
0,count,0.0,37,37,,,,,,,,,,,,,,
1,mean,,37,37,,,,,,,,,,,,,,
2,std,,37,37,,,,,,,,,,,,,,
3,min,,37,37,,,,,,,,,,,,,,
4,25%,,37,37,,,,,,,,,,,,,,
5,50%,,37,37,,,,,,,,,,,,,,
6,75%,,37,37,,,,,,,,,,,,,,
7,max,,37,37,,,,,,,,,,,,,,
0,count,0.0,38,38,,,,,,,,,,,,,,
1,mean,,38,38,,,,,,,,,,,,,,
2,std,,38,38,,,,,,,,,,,,,,
3,min,,38,38,,,,,,,,,,,,,,
4,25%,,38,38,,,,,,,,,,,,,,
5,50%,,38,38,,,,,,,,,,,,,,
6,75%,,38,38,,,,,,,,,,,,,,
7,max,,38,38,,,,,,,,,,,,,,
0,count,0.0,39,39,,,,,,,,,,,,,,
1,mean,,39,39,,,,,,,,,,,,,,
2,std,,39,39,,,,,,,,,,,,,,
3,min,,39,39,,,,,,,,,,,,,,
4,25%,,39,39,,,,,,,,,,,,,,
5,50%,,39,39,,,,,,,,,,,,,,
6,75%,,39,39,,,,,,,,,,,,,,
7,max,,39,39,,,,,,,,,,,,,,
0,count,0.0,40,40,,,,,,,,,,,,,,
1,mean,,40,40,,,,,,,,,,,,,,
2,std,,40,40,,,,,,,,,,,,,,
3,min,,40,40,,,,,,,,,,,,,,
4,25%,,40,40,,,,,,,,,,,,,,
5,50%,,40,40,,,,,,,,,,,,,,
6,75%,,40,40,,,,,,,,,,,,,,
7,max,,40,40,,,,,,,,,,,,,,
0,count,0.0,41,41,,,,,,,,,,,,,,
1,mean,,41,41,,,,,,,,,,,,,,
2,std,,41,41,,,,,,,,,,,,,,
3,min,,41,41,,,,,,,,,,,,,,
4,25%,,41,41,,,,,,,,,,,,,,
5,50%,,41,41,,,,,,,,,,,,,,
6,75%,,41,41,,,,,,,,,,,,,,
7,max,,41,41,,,,,,,,,,,,,,
0,count,0.0,42,42,,,,,,,,,,,,,,
1,mean,,42,42,,,,,,,,,,,,,,
2,std,,42,42,,,,,,,,,,,,,,
3,min,,42,42,,,,,,,,,,,,,,
4,25%,,42,42,,,,,,,,,,,,,,
5,50%,,42,42,,,,,,,,,,,,,,
6,75%,,42,42,,,,,,,,,,,,,,
7,max,,42,42,,,,,,,,,,,,,,
0,count,0.0,43,43,,,,,,,,,,,,,,
1,mean,,43,43,,,,,,,,,,,,,,
2,std,,43,43,,,,,,,,,,,,,,
3,min,,43,43,,,,,,,,,,,,,,
4,25%,,43,43,,,,,,,,,,,,,,
5,50%,,43,43,,,,,,,,,,,,,,
6,75%,,43,43,,,,,,,,,,,,,,
7,max,,43,43,,,,,,,,,,,,,,
0,count,0.0,44,44,,,,,,,,,,,,,,
1,mean,,44,44,,,,,,,,,,,,,,
2,std,,44,44,,,,,,,,,,,,,,
3,min,,44,44,,,,,,,,,,,,,,
4,25%,,44,44,,,,,,,,,,,,,,
5,50%,,44,44,,,,,,,,,,,,,,
6,75%,,44,44,,,,,,,,,,,,,,
7,max,,44,44,,,,,,,,,,,,,,
0,count,0.0,45,45,,,,,,,,,,,,,,
1,mean,,45,45,,,,,,,,,,,,,,
2,std,,45,45,,,,,,,,,,,,,,
3,min,,45,45,,,,,,,,,,,,,,
4,25%,,45,45,,,,,,,,,,,,,,
5,50%,,45,45,,,,,,,,,,,,,,
6,75%,,45,45,,,,,,,,,,,,,,
7,max,,45,45,,,,,,,,,,,,,,
0,count,0.0,46,46,,,,,,,,,,,,,,
1,mean,,46,46,,,,,,,,,,,,,,
2,std,,46,46,,,,,,,,,,,,,,
3,min,,46,46,,,,,,,,,,,,,,
4,25%,,46,46,,,,,,,,,,,,,,
5,50%,,46,46,,,,,,,,,,,,,,
6,75%,,46,46,,,,,,,,,,,,,,
7,max,,46,46,,,,,,,,,,,,,,
0,count,0.0,47,47,,,,,,,,,,,,,,
1,mean,,47,47,,,,,,,,,,,,,,
2,std,,47,47,,,,,,,,,,,,,,
3,min,,47,47,,,,,,,,,,,,,,
4,25%,,47,47,,,,,,,,,,,,,,
5,50%,,47,47,,,,,,,,,,,,,,
6,75%,,47,47,,,,,,,,,,,,,,
7,max,,47,47,,,,,,,,,,,,,,
0,count,0.0,48,48,,,,,,,,,,,,,,
1,mean,,48,48,,,,,,,,,,,,,,
2,std,,48,48,,,,,,,,,,,,,,
3,min,,48,48,,,,,,,,,,,,,,
4,25%,,48,48,,,,,,,,,,,,,,
5,50%,,48,48,,,,,,,,,,,,,,
6,75%,,48,48,,,,,,,,,,,,,,
7,max,,48,48,,,,,,,,,,,,,,
0,count,0.0,49,49,,,,,,,,,,,,,,
1,mean,,49,49,,,,,,,,,,,,,,
2,std,,49,49,,,,,,,,,,,,,,
3,min,,49,49,,,,,,,,,,,,,,
4,25%,,49,49,,,,,,,,,,,,,,
5,50%,,49,49,,,,,,,,,,,,,,
6,75%,,49,49,,,,,,,,,,,,,,
7,max,,49,49,,,,,,,,,,,,,,
0,count,0.0,50,50,,,,,,,,,,,,,,
1,mean,,50,50,,,,,,,,,,,,,,
2,std,,50,50,,,,,,,,,,,,,,
3,min,,50,50,,,,,,,,,,,,,,
4,25%,,50,50,,,,,,,,,,,,,,
5,50%,,50,50,,,,,,,,,,,,,,
6,75%,,50,50,,,,,,,,,,,,,,
7,max,,50,50,,,,,,,,,,,,,,
0,count,0.0,51,51,,,,,,,,,,,,,,
1,mean,,51,51,,,,,,,,,,,,,,
2,std,,51,51,,,,,,,,,,,,,,
3,min,,51,51,,,,,,,,,,,,,,
4,25%,,51,51,,,,,,,,,,,,,,
5,50%,,51,51,,,,,,,,,,,,,,
6,75%,,51,51,,,,,,,,,,,,,,
7,max,,51,51,,,,,,,,,,,,,,
0,count,0.0,52,52,,,,,,,,,,,,,,
1,mean,,52,52,,,,,,,,,,,,,,
2,std,,52,52,,,,,,,,,,,,,,
3,min,,52,52,,,,,,,,,,,,,,
4,25%,,52,52,,,,,,,,,,,,,,
5,50%,,52,52,,,,,,,,,,,,,,
6,75%,,52,52,,,,,,,,,,,,,,
7,max,,52,52,,,,,,,,,,,,,,
0,count,0.0,53,53,,,,,,,,,,,,,,
1,mean,,53,53,,,,,,,,,,,,,,
2,std,,53,53,,,,,,,,,,,,,,
3,min,,53,53,,,,,,,,,,,,,,
4,25%,,53,53,,,,,,,,,,,,,,
5,50%,,53,53,,,,,,,,,,,,,,
6,75%,,53,53,,,,,,,,,,,,,,
7,max,,53,53,,,,,,,,,,,,,,
0,count,0.0,54,54,,,,,,,,,,,,,,
1,mean,,54,54,,,,,,,,,,,,,,
2,std,,54,54,,,,,,,,,,,,,,
3,min,,54,54,,,,,,,,,,,,,,
4,25%,,54,54,,,,,,,,,,,,,,
5,50%,,54,54,,,,,,,,,,,,,,
6,75%,,54,54,,,,,,,,,,,,,,
7,max,,54,54,,,,,,,,,,,,,,
0,count,0.0,55,55,,,,,,,,,,,,,,
1,mean,,55,55,,,,,,,,,,,,,,
2,std,,55,55,,,,,,,,,,,,,,
3,min,,55,55,,,,,,,,,,,,,,
4,25%,,55,55,,,,,,,,,,,,,,
5,50%,,55,55,,,,,,,,,,,,,,
6,75%,,55,55,,,,,,,,,,,,,,
7,max,,55,55,,,,,,,,,,,,,,
0,count,0.0,56,56,,,,,,,,,,,,,,
1,mean,,56,56,,,,,,,,,,,,,,
2,std,,56,56,,,,,,,,,,,,,,
3,min,,56,56,,,,,,,,,,,,,,
4,25%,,56,56,,,,,,,,,,,,,,
5,50%,,56,56,,,,,,,,,,,,,,
6,75%,,56,56,,,,,,,,,,,,,,
7,max,,56,56,,,,,,,,,,,,,,
0,count,0.0,57,57,,,,,,,,,,,,,,
1,mean,,57,57,,,,,,,,,,,,,,
2,std,,57,57,,,,,,,,,,,,,,
3,min,,57,57,,,,,,,,,,,,,,
4,25%,,57,57,,,,,,,,,,,,,,
5,50%,,57,57,,,,,,,,,,,,,,
6,75%,,57,57,,,,,,,,,,,,,,
7,max,,57,57,,,,,,,,,,,,,,
0,count,0.0,58,58,,,,,,,,,,,,,,
1,mean,,58,58,,,,,,,,,,,,,,
2,std,,58,58,,,,,,,,,,,,,,
3,min,,58,58,,,,,,,,,,,,,,
4,25%,,58,58,,,,,,,,,,,,,,
5,50%,,58,58,,,,,,,,,,,,,,
6,75%,,58,58,,,,,,,,,,,,,,
7,max,,58,58,,,,,,,,,,,,,,
0,count,0.0,59,59,,,,,,,,,,,,,,
1,mean,,59,59,,,,,,,,,,,,,,
2,std,,59,59,,,,,,,,,,,,,,
3,min,,59,59,,,,,,,,,,,,,,
4,25%,,59,59,,,,,,,,,,,,,,
5,50%,,59,59,,,,,,,,,,,,,,
6,75%,,59,59,,,,,,,,,,,,,,
7,max,,59,59,,,,,,,,,,,,,,
0,count,0.0,60,60,,,,,,,,,,,,,,
1,mean,,60,60,,,,,,,,,,,,,,
2,std,,60,60,,,,,,,,,,,,,,
3,min,,60,60,,,,,,,,,,,,,,
4,25%,,60,60,,,,,,,,,,,,,,
5,50%,,60,60,,,,,,,,,,,,,,
6,75%,,60,60,,,,,,,,,,,,,,
7,max,,60,60,,,,,,,,,,,,,,
0,count,0.0,61,61,,,,,,,,,,,,,,
1,mean,,61,61,,,,,,,,,,,,,,
2,std,,61,61,,,,,,,,,,,,,,
3,min,,61,61,,,,,,,,,,,,,,
4,25%,,61,61,,,,,,,,,,,,,,
5,50%,,61,61,,,,,,,,,,,,,,
6,75%,,61,61,,,,,,,,,,,,,,
7,max,,61,61,,,,,,,,,,,,,,
0,count,0.0,62,62,,,,,,,,,,,,,,
1,mean,,62,62,,,,,,,,,,,,,,
2,std,,62,62,,,,,,,,,,,,,,
3,min,,62,62,,,,,,,,,,,,,,
4,25%,,62,62,,,,,,,,,,,,,,
5,50%,,62,62,,,,,,,,,,,,,,
6,75%,,62,62,,,,,,,,,,,,,,
7,max,,62,62,,,,,,,,,,,,,,
0,count,0.0,63,63,,,,,,,,,,,,,,
1,mean,,63,63,,,,,,,,,,,,,,
2,std,,63,63,,,,,,,,,,,,,,
3,min,,63,63,,,,,,,,,,,,,,
4,25%,,63,63,,,,,,,,,,,,,,
5,50%,,63,63,,,,,,,,,,,,,,
6,75%,,63,63,,,,,,,,,,,,,,
7,max,,63,63,,,,,,,,,,,,,,
0,count,0.0,64,64,,,,,,,,,,,,,,
1,mean,,64,64,,,,,,,,,,,,,,
2,std,,64,64,,,,,,,,,,,,,,
3,min,,64,64,,,,,,,,,,,,,,
4,25%,,64,64,,,,,,,,,,,,,,
5,50%,,64,64,,,,,,,,,,,,,,
6,75%,,64,64,,,,,,,,,,,,,,
7,max,,64,64,,,,,,,,,,,,,,
0,count,0.0,65,65,,,,,,,,,,,,,,
1,mean,,65,65,,,,,,,,,,,,,,
2,std,,65,65,,,,,,,,,,,,,,
3,min,,65,65,,,,,,,,,,,,,,
4,25%,,65,65,,,,,,,,,,,,,,
5,50%,,65,65,,,,,,,,,,,,,,
6,75%,,65,65,,,,,,,,,,,,,,
7,max,,65,65,,,,,,,,,,,,,,
0,count,0.0,66,66,,,,,,,,,,,,,,
1,mean,,66,66,,,,,,,,,,,,,,
2,std,,66,66,,,,,,,,,,,,,,
3,min,,66,66,,,,,,,,,,,,,,
4,25%,,66,66,,,,,,,,,,,,,,
5,50%,,66,66,,,,,,,,,,,,,,
6,75%,,66,66,,,,,,,,,,,,,,
7,max,,66,66,,,,,,,,,,,,,,
0,count,0.0,67,67,,,,,,,,,,,,,,
1,mean,,67,67,,,,,,,,,,,,,,
2,std,,67,67,,,,,,,,,,,,,,
3,min,,67,67,,,,,,,,,,,,,,
4,25%,,67,67,,,,,,,,,,,,,,
5,50%,,67,67,,,,,,,,,,,,,,
6,75%,,67,67,,,,,,,,,,,,,,
7,max,,67,67,,,,,,,,,,,,,,
0,count,0.0,68,68,,,,,,,,,,,,,,
1,mean,,68,68,,,,,,,,,,,,,,
2,std,,68,68,,,,,,,,,,,,,,
3,min,,68,68,,,,,,,,,,,,,,
4,25%,,68,68,,,,,,,,,,,,,,
5,50%,,68,68,,,,,,,,,,,,,,
6,75%,,68,68,,,,,,,,,,,,,,
7,max,,68,68,,,,,,,,,,,,,,
0,count,0.0,69,69,,,,,,,,,,,,,,
1,mean,,69,69,,,,,,,,,,,,,,
2,std,,69,69,,,,,,,,,,,,,,
3,min,,69,69,,,,,,,,,,,,,,
4,25%,,69,69,,,,,,,,,,,,,,
5,50%,,69,69,,,,,,,,,,,,,,
6,75%,,69,69,,,,,,,,,,,,,,
7,max,,69,69,,,,,,,,,,,,,,
0,count,0.0,70,70,,,,,,,,,,,,,,
1,mean,,70,70,,,,,,,,,,,,,,
2,std,,70,70,,,,,,,,,,,,,,
3,min,,70,70,,,,,,,,,,,,,,
4,25%,,70,70,,,,,,,,,,,,,,
5,50%,,70,70,,,,,,,,,,,,,,
6,75%,,70,70,,,,,,,,,,,,,,
7,max,,70,70,,,,,,,,,,,,,,
0,count,0.0,71,71,,,,,,,,,,,,,,
1,mean,,71,71,,,,,,,,,,,,,,
2,std,,71,71,,,,,,,,,,,,,,
3,min,,71,71,,,,,,,,,,,,,,
4,25%,,71,71,,,,,,,,,,,,,,
5,50%,,71,71,,,,,,,,,,,,,,
6,75%,,71,71,,,,,,,,,,,,,,
7,max,,71,71,,,,,,,,,,,,,,
0,count,0.0,72,72,,,,,,,,,,,,,,
1,mean,,72,72,,,,,,,,,,,,,,
2,std,,72,72,,,,,,,,,,,,,,
3,min,,72,72,,,,,,,,,,,,,,
